Data:  2015/11/24
Czas:  2:37:4


liczba pomiarow=1167
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
15.897,2.253,2.354,-1.405,1.589,1.689,1.614,1.631,
16.051,2.224,2.651,-1.415,1.601,1.702,1.630,1.643,
15.976,2.242,2.392,-1.427,1.615,1.717,1.644,1.657,
15.318,2.178,1.927,-1.433,1.621,1.723,1.650,1.663,
15.147,2.237,2.241,-1.433,1.621,1.723,1.650,1.664,
15.398,2.187,2.243,-1.435,1.624,1.726,1.653,1.667,
15.932,2.204,2.292,-1.449,1.640,1.742,1.670,1.682,
15.621,2.198,2.048,-1.464,1.659,1.761,1.689,1.700,
15.624,2.153,2.139,-1.471,1.668,1.770,1.697,1.709,
15.392,2.153,2.190,-1.476,1.674,1.777,1.702,1.715,
15.568,2.167,2.229,-1.482,1.681,1.784,1.711,1.723,
15.564,2.208,2.336,-1.498,1.699,1.803,1.728,1.741,
15.153,2.166,2.437,-1.505,1.709,1.814,1.736,1.751,
14.648,2.152,2.259,-1.506,1.710,1.815,1.736,1.752,
14.916,2.120,2.064,-1.507,1.710,1.816,1.736,1.752,
15.289,2.111,2.274,-1.516,1.724,1.830,1.753,1.766,
15.583,2.158,2.131,-1.535,1.744,1.852,1.772,1.787,
14.995,2.127,2.043,-1.540,1.750,1.859,1.778,1.793,
15.105,2.107,2.290,-1.547,1.757,1.866,1.787,1.800,
14.980,2.081,2.094,-1.554,1.766,1.875,1.795,1.807,
15.103,2.090,2.019,-1.568,1.781,1.890,1.810,1.822,
14.895,2.089,2.127,-1.579,1.795,1.905,1.826,1.836,
14.245,2.077,2.205,-1.581,1.798,1.907,1.827,1.840,
14.245,2.061,2.004,-1.582,1.798,1.908,1.827,1.841,
14.682,2.054,2.111,-1.589,1.808,1.918,1.838,1.851,
14.726,2.047,1.991,-1.605,1.826,1.938,1.857,1.870,
14.354,2.045,1.936,-1.613,1.835,1.947,1.864,1.880,
14.340,2.059,1.846,-1.619,1.842,1.954,1.873,1.887,
14.197,2.037,2.046,-1.625,1.849,1.961,1.879,1.894,
14.168,2.003,2.130,-1.635,1.860,1.973,1.891,1.905,
13.907,2.042,1.869,-1.638,1.863,1.976,1.893,1.910,
14.023,2.016,1.995,-1.642,1.868,1.981,1.899,1.912,
14.274,2.019,2.203,-1.653,1.880,1.994,1.911,1.926,
14.277,1.967,2.150,-1.669,1.898,2.013,1.928,1.944,
14.231,1.994,1.865,-1.683,1.914,2.031,1.943,1.961,
13.582,2.006,2.015,-1.686,1.917,2.034,1.945,1.965,
13.531,1.975,2.143,-1.686,1.917,2.034,1.945,1.964,
13.842,1.998,2.050,-1.691,1.923,2.041,1.953,1.971,
14.085,1.995,1.983,-1.707,1.943,2.061,1.973,1.990,
13.905,1.960,2.078,-1.720,1.957,2.076,1.987,2.005,
13.575,1.964,2.041,-1.727,1.966,2.085,1.999,2.014,
13.474,1.940,1.824,-1.729,1.969,2.089,2.002,2.018,
13.490,1.936,1.682,-1.736,1.976,2.097,2.010,2.026,
13.828,1.905,2.021,-1.748,1.993,2.114,2.026,2.042,
13.266,1.955,2.207,-1.758,2.004,2.126,2.038,2.055,
13.376,1.911,2.101,-1.762,2.009,2.131,2.043,2.059,
13.477,1.867,1.865,-1.772,2.020,2.143,2.053,2.070,
13.441,1.889,1.935,-1.783,2.032,2.155,2.065,2.082,
12.694,1.879,1.870,-1.787,2.036,2.161,2.069,2.088,
12.501,1.865,1.688,-1.787,2.036,2.161,2.069,2.088,
13.127,1.843,2.035,-1.790,2.041,2.166,2.075,2.091,
13.415,1.851,2.036,-1.804,2.059,2.183,2.094,2.109,
13.412,1.903,2.021,-1.823,2.081,2.207,2.116,2.133,
13.071,1.869,1.871,-1.830,2.088,2.216,2.122,2.141,
12.386,1.838,1.898,-1.830,2.089,2.216,2.122,2.142,
12.576,1.841,1.877,-1.831,2.091,2.218,2.125,2.143,
12.994,1.815,1.669,-1.843,2.106,2.234,2.141,2.159,
12.867,1.879,1.877,-1.858,2.123,2.252,2.158,2.176,
12.415,1.837,2.148,-1.863,2.128,2.257,2.164,2.181,
12.935,1.817,1.610,-1.870,2.137,2.267,2.172,2.190,
12.909,1.796,1.692,-1.879,2.147,2.278,2.182,2.201,
12.900,1.795,1.677,-1.891,2.163,2.294,2.197,2.217,
12.277,1.812,1.397,-1.898,2.170,2.303,2.205,2.225,
11.600,1.804,1.889,-1.898,2.170,2.303,2.205,2.225,
11.917,1.800,1.794,-1.898,2.171,2.303,2.205,2.225,
12.725,1.770,1.723,-1.903,2.177,2.310,2.211,2.231,
13.029,1.739,1.851,-1.925,2.202,2.335,2.236,2.257,
12.742,1.800,1.902,-1.937,2.217,2.350,2.251,2.273,
12.170,1.803,1.897,-1.941,2.221,2.355,2.256,2.277,
12.057,1.759,1.902,-1.941,2.221,2.356,2.256,2.278,
12.320,1.757,1.553,-1.948,2.231,2.364,2.265,2.287,
12.665,1.731,1.812,-1.967,2.253,2.388,2.288,2.309,
12.452,1.768,2.068,-1.977,2.262,2.398,2.297,2.319,
12.316,1.742,1.715,-1.981,2.268,2.404,2.304,2.326,
11.988,1.752,1.690,-1.987,2.276,2.412,2.311,2.333,
12.233,1.693,1.654,-1.996,2.287,2.423,2.322,2.345,
