Data:  2015/11/24
Czas:  2:19:42


liczba pomiarow=1166
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
14.606,2.825,3.035,-1.464,1.683,1.708,1.650,1.666,
13.672,2.794,2.761,-1.466,1.685,1.710,1.653,1.667,
13.430,2.790,3.064,-1.466,1.685,1.710,1.653,1.668,
14.379,2.767,3.032,-1.469,1.689,1.715,1.656,1.674,
14.491,2.770,2.672,-1.490,1.711,1.737,1.678,1.695,
13.954,2.708,2.766,-1.511,1.737,1.765,1.704,1.721,
13.042,2.697,2.571,-1.514,1.740,1.768,1.707,1.724,
12.804,2.681,2.839,-1.514,1.740,1.769,1.707,1.724,
13.134,2.647,2.772,-1.515,1.743,1.771,1.708,1.727,
14.044,2.659,2.729,-1.525,1.756,1.783,1.721,1.740,
14.118,2.745,2.551,-1.545,1.780,1.808,1.744,1.762,
13.862,2.718,2.541,-1.554,1.790,1.818,1.753,1.773,
13.255,2.657,2.721,-1.558,1.794,1.822,1.757,1.776,
13.383,2.661,2.849,-1.559,1.797,1.825,1.760,1.778,
13.774,2.673,2.645,-1.570,1.810,1.838,1.773,1.792,
13.765,2.650,2.427,-1.580,1.821,1.848,1.782,1.802,
13.394,2.666,2.686,-1.587,1.830,1.858,1.790,1.810,
13.622,2.670,2.591,-1.595,1.839,1.866,1.799,1.819,
13.818,2.646,2.542,-1.608,1.855,1.883,1.814,1.835,
13.714,2.667,2.704,-1.617,1.866,1.895,1.825,1.845,
12.781,2.596,2.645,-1.618,1.867,1.895,1.826,1.848,
12.955,2.625,2.816,-1.618,1.868,1.896,1.826,1.847,
13.474,2.624,2.549,-1.626,1.880,1.908,1.837,1.858,
13.748,2.613,2.882,-1.645,1.900,1.928,1.857,1.877,
13.168,2.649,2.490,-1.651,1.909,1.937,1.865,1.886,
13.228,2.601,2.556,-1.658,1.917,1.944,1.872,1.893,
13.338,2.624,2.554,-1.661,1.921,1.948,1.876,1.896,
13.582,2.596,2.568,-1.674,1.935,1.963,1.890,1.911,
13.579,2.654,2.841,-1.688,1.953,1.980,1.907,1.927,
13.143,2.618,2.552,-1.692,1.958,1.985,1.911,1.930,
13.107,2.601,2.486,-1.694,1.961,1.988,1.914,1.936,
13.358,2.608,2.446,-1.704,1.972,2.000,1.925,1.945,
13.492,2.615,2.599,-1.717,1.988,2.016,1.940,1.960,
12.848,2.627,2.741,-1.720,1.993,2.022,1.944,1.966,
12.914,2.571,2.702,-1.723,1.996,2.025,1.947,1.968,
13.282,2.596,2.350,-1.735,2.011,2.039,1.961,1.983,
13.223,2.643,2.659,-1.749,2.028,2.056,1.977,2.001,
12.668,2.555,2.722,-1.761,2.040,2.069,1.989,2.013,
11.838,2.597,2.628,-1.761,2.041,2.069,1.990,2.013,
11.888,2.583,2.295,-1.762,2.041,2.070,1.990,2.014,
12.588,2.557,2.532,-1.764,2.046,2.074,1.994,2.018,
13.033,2.583,2.539,-1.780,2.066,2.094,2.013,2.037,
12.911,2.583,2.665,-1.797,2.086,2.114,2.032,2.057,
12.555,2.555,2.373,-1.805,2.097,2.124,2.042,2.066,
12.324,2.525,2.088,-1.807,2.098,2.126,2.043,2.068,
12.561,2.509,2.635,-1.810,2.105,2.132,2.049,2.075,
12.648,2.522,2.478,-1.826,2.124,2.152,2.067,2.093,
