Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
13.682,2.611,2.591,-0.008,-0.000,0.004,0.000,-0.000,
13.967,2.663,2.640,-0.008,-0.000,0.004,0.000,-0.000,
13.373,2.654,2.640,-0.008,-0.000,0.004,0.000,-0.000,
13.631,2.641,2.587,-0.008,-0.000,0.004,0.000,0.000,
14.431,2.716,2.698,-0.008,-0.000,0.004,0.000,-0.000,
15.267,2.816,2.785,-0.009,-0.000,0.004,0.000,-0.000,
14.889,2.822,2.808,-0.009,-0.000,0.004,0.000,-0.001,
15.173,2.818,2.840,-0.010,-0.000,0.004,0.000,-0.000,
15.854,2.903,2.879,-0.009,-0.000,0.004,0.000,-0.000,
16.647,2.994,2.958,-0.010,-0.000,0.004,0.000,0.000,
17.000,3.059,3.023,-0.011,-0.000,0.005,0.000,-0.000,
16.655,3.062,3.044,-0.010,-0.000,0.005,0.000,-0.000,
16.766,3.050,3.008,-0.010,-0.000,0.005,0.000,-0.001,
17.672,3.124,3.090,-0.011,-0.000,0.005,0.000,0.000,
18.263,3.212,3.161,-0.011,-0.000,0.005,0.000,-0.001,
18.069,3.225,3.188,-0.012,-0.000,0.005,0.000,-0.000,
18.167,3.220,3.173,-0.012,-0.000,0.005,0.000,-0.000,
19.170,3.303,3.258,-0.012,-0.000,0.005,0.000,-0.000,
19.816,3.403,3.387,-0.012,-0.000,0.006,0.000,-0.000,
20.525,3.480,3.425,-0.013,-0.000,0.006,0.000,-0.000,
19.869,3.486,3.445,-0.013,-0.000,0.006,0.000,-0.000,
20.121,3.474,3.453,-0.014,-0.000,0.006,0.000,-0.000,
20.857,3.534,3.502,-0.013,-0.000,0.006,0.000,-0.000,
21.717,3.625,3.616,-0.014,-0.000,0.006,0.000,0.000,
21.419,3.670,3.651,-0.014,-0.000,0.006,0.000,0.000,
21.741,3.655,3.665,-0.014,-0.000,0.006,0.000,0.000,
22.488,3.731,3.684,-0.015,-0.000,0.006,0.000,0.000,
23.223,3.831,3.829,-0.016,-0.000,0.007,0.000,0.001,
23.797,3.912,3.901,-0.016,-0.000,0.007,0.000,0.000,
23.379,3.935,3.930,-0.017,-0.000,0.007,0.000,0.001,
23.370,3.917,3.885,-0.017,-0.000,0.007,0.000,0.000,
24.266,3.959,3.942,-0.017,-0.000,0.007,0.000,0.001,
25.093,4.076,4.050,-0.018,-0.000,0.008,0.000,0.000,
25.135,4.110,4.085,-0.018,-0.000,0.008,0.000,0.001,
24.940,4.102,4.070,-0.018,-0.000,0.008,0.000,0.001,
25.873,4.167,4.113,-0.018,-0.000,0.008,0.000,0.000,
26.644,4.273,4.249,-0.019,-0.000,0.008,0.000,0.000,
27.379,4.359,4.378,-0.020,-0.000,0.009,0.000,0.002,
26.656,4.371,4.340,-0.020,-0.000,0.009,0.000,0.002,
26.909,4.355,4.333,-0.020,-0.000,0.009,0.000,0.001,
27.400,4.392,4.361,-0.020,-0.000,0.009,0.000,0.001,
28.714,4.511,4.499,-0.021,-0.000,0.010,0.000,0.000,
28.316,4.550,4.518,-0.022,-0.000,0.010,0.000,0.002,
28.372,4.539,4.525,-0.022,-0.000,0.010,0.000,0.002,
29.046,4.576,4.570,-0.022,-0.000,0.010,0.000,0.002,
30.157,4.694,4.672,-0.023,-0.000,0.010,0.000,0.002,
30.710,4.782,4.785,-0.024,-0.000,0.011,0.000,0.003,
30.772,4.819,4.811,-0.024,-0.000,0.011,0.000,0.003,
30.489,4.803,4.803,-0.024,-0.000,0.011,0.000,0.004,
31.163,4.826,4.817,-0.024,-0.000,0.011,0.000,0.003,
31.960,4.951,4.933,-0.025,-0.000,0.012,0.000,0.003,
32.218,5.012,5.028,-0.026,-0.000,0.012,0.000,0.004,
31.874,4.991,4.980,-0.026,0.000,0.012,0.000,0.004,
32.612,5.021,5.032,-0.026,0.000,0.012,0.000,0.003,
33.564,5.144,5.159,-0.027,0.000,0.012,0.000,0.004,
